,train_accuracy,train_loss,test_accuracy
0,82.29166666666667,0.6306027770042419,0.7955
1,83.33333333333333,0.5549704432487488,0.8562
2,78.125,0.8094868063926697,0.8586
3,89.58333333333333,0.4969226121902466,0.87
4,91.66666666666667,0.5071497559547424,0.856
5,90.625,0.39312034845352173,0.8691
6,90.625,0.42473527789115906,0.8695
7,90.625,0.41969409584999084,0.876
8,87.5,0.4892180860042572,0.8778
9,92.70833333333333,0.35833504796028137,0.8815
10,86.45833333333333,0.4327269494533539,0.8784
11,83.33333333333333,0.4779147803783417,0.8836
12,88.54166666666667,0.4067220687866211,0.884
13,87.5,0.3963395059108734,0.8864
14,88.54166666666667,0.4186517000198364,0.8865
15,95.83333333333333,0.18242193758487701,0.8902
16,88.54166666666667,0.5096531510353088,0.8898
17,85.41666666666667,0.5747352838516235,0.8912
18,85.41666666666667,0.5189712047576904,0.8932
19,90.625,0.4032752811908722,0.8945
20,88.54166666666667,0.4234164357185364,0.8942
21,84.375,0.5297701358795166,0.8939
22,84.375,0.5507130026817322,0.8935
23,86.45833333333333,0.5380768179893494,0.8927
24,81.25,0.5481180548667908,0.8927
25,86.45833333333333,0.4155525267124176,0.893
26,85.41666666666667,0.5719841122627258,0.8927
27,84.375,0.5197324156761169,0.8931
28,90.625,0.4361223578453064,0.8927
29,85.41666666666667,0.43171966075897217,0.8927
30,92.70833333333333,0.3323771357536316,0.8926
31,92.70833333333333,0.29913070797920227,0.8927
32,96.875,0.2356540709733963,0.8925
33,90.625,0.46335554122924805,0.8925
34,89.58333333333333,0.33870363235473633,0.8925
35,89.58333333333333,0.41726088523864746,0.8926
36,89.58333333333333,0.368143767118454,0.8926
37,91.66666666666667,0.38119763135910034,0.8927
38,94.79166666666667,0.2364266961812973,0.8927
39,92.70833333333333,0.3156302869319916,0.8927
40,84.375,0.5804468393325806,0.8927
41,87.5,0.5000008940696716,0.8926
42,88.54166666666667,0.3391433656215668,0.8926
43,93.75,0.3509100377559662,0.8926
44,90.625,0.3247270882129669,0.8926
45,91.66666666666667,0.30094945430755615,0.8927
46,91.66666666666667,0.3850652575492859,0.8927
47,86.45833333333333,0.5305200815200806,0.8927
48,87.5,0.43588143587112427,0.8927
49,88.54166666666667,0.5455200672149658,0.8927
